轮次,学习率,训练损失,训练准确率,验证损失,验证准确率,本轮耗时（秒）,累计耗时（秒）
162,0.010000000000000002,0.021610377903282643,0.9941777777777778,0.22624669314026832,0.939,21.802101699999184,3712.088034300001
163,0.010000000000000002,0.020525119754672052,0.9944444444444445,0.22521397964954376,0.9416,21.826247399998465,3733.914388000001
164,0.010000000000000002,0.019208333627641613,0.9947111111111111,0.22145961229801178,0.9432,21.84422210000048,3755.7587203000003
165,0.010000000000000002,0.01569149689591593,0.9962,0.22237581368386747,0.944,21.817981599999257,3777.5768301000007
166,0.010000000000000002,0.015650814306073717,0.9963111111111111,0.22998873166441916,0.9416,21.801834100000633,3799.3787828000004
167,0.010000000000000002,0.017408397042171824,0.9950444444444444,0.23665530490875245,0.939,21.85898189999898,3821.237872200001
168,0.010000000000000002,0.014207388002259864,0.9967111111111111,0.22720984402894973,0.9424,21.86799979999887,3843.105993000001
169,0.010000000000000002,0.01469719817654954,0.9962,0.22638985752463342,0.9424,21.882397800000035,3864.9885090999996
170,0.010000000000000002,0.013406724009021289,0.9963555555555555,0.23411380655765535,0.9394,21.878991400000814,3886.8676159000006
171,0.010000000000000002,0.012369195983227756,0.9970666666666667,0.2359456723332405,0.9428,21.826570100000026,3908.6943042000003
172,0.010000000000000002,0.01162657860029075,0.9974888888888889,0.23058046332597731,0.9432,21.87641319999966,3930.5708464
173,0.010000000000000002,0.01188334463572052,0.9973333333333333,0.23737763302326204,0.9424,21.853372900000977,3952.4243337999997
174,0.010000000000000002,0.011111898572329018,0.9973555555555556,0.23608505934476853,0.943,21.82998839999891,3974.254444
175,0.010000000000000002,0.010765855006583863,0.9975555555555555,0.23889302951097488,0.9432,21.860076700000718,3996.1146437999996
176,0.010000000000000002,0.01124684830163088,0.9972,0.23684311325550078,0.9422,21.821158599999762,4017.9359209000013
177,0.010000000000000002,0.010454118584096431,0.9976444444444444,0.23631740533709525,0.9408,21.82517529999859,4039.7612169000004
178,0.010000000000000002,0.010724399949444664,0.9974222222222222,0.24022035888433457,0.9406,21.850611399999252,4061.611951500001
179,0.010000000000000002,0.010232388786309296,0.9978666666666667,0.23879173184037208,0.9416,21.829596599998695,4083.441676300001
180,0.010000000000000002,0.010423368749229445,0.9973777777777778,0.23362323478460312,0.9416,21.894036499999856,4105.3358343
181,0.010000000000000002,0.009441108572860766,0.998,0.2380222310423851,0.942,21.8362718999997,4127.172228700001
182,0.010000000000000002,0.009588308859119812,0.9978,0.23901824451684953,0.9412,21.896815100000822,4149.069166900001
183,0.010000000000000002,0.009507871806042062,0.9976444444444444,0.24770896000862122,0.9384,21.875055399999837,4170.944342800001
184,0.010000000000000002,0.009894132828464111,0.9976444444444444,0.24738478411138057,0.9406,21.821059899999455,4192.7655194
185,0.010000000000000002,0.009830628919228911,0.9975777777777778,0.24177089021801948,0.9394,21.823825299999953,4214.5894697
186,0.010000000000000002,0.010790164072025153,0.9970222222222223,0.23945652312934398,0.9426,21.84796180000012,4236.437537100001
187,0.010000000000000002,0.009549039655634098,0.9976666666666667,0.2390321170091629,0.9402,21.887239600000612,4258.324889700001
188,0.010000000000000002,0.010329760263611872,0.9975777777777778,0.24202702767252923,0.9422,21.863951199999065,4280.188959700001
189,0.010000000000000002,0.00870881205573678,0.9981555555555556,0.2483738400697708,0.941,21.848043800000596,4302.0371111
190,0.010000000000000002,0.008716588073472182,0.9982666666666666,0.24248753253519534,0.9422,21.813008099999934,4323.850238200001
191,0.010000000000000002,0.007565745628193771,0.9985555555555555,0.24268411519527436,0.9394,21.841973900000085,4345.692349300001
192,0.010000000000000002,0.007811766117107537,0.9983333333333333,0.2460478057384491,0.9418,21.82932019999862,4367.521790300001
193,0.010000000000000002,0.008851212111218936,0.9980222222222223,0.23838276450634002,0.9418,21.828379399999903,4389.350296800001
194,0.010000000000000002,0.008950790084774295,0.9977111111111111,0.2409177027106285,0.9416,21.86174469999969,4411.2121475
195,0.010000000000000002,0.009560196547541354,0.9974222222222222,0.24719702128171922,0.9424,21.882513199998357,4433.094777800001
196,0.010000000000000002,0.00801915846678118,0.9981333333333333,0.24381348558664323,0.9444,21.84786290000011,4454.942759
197,0.010000000000000002,0.007773571713682678,0.9983555555555556,0.2505897322595119,0.9438,21.86853929999961,4476.811413700001
198,0.010000000000000002,0.009823028151608175,0.9976888888888888,0.25056006445884704,0.9448,21.826397999999244,4498.637923300001
199,0.010000000000000002,0.007739056458986468,0.9984666666666666,0.2565184937894344,0.941,21.866661300000487,4520.5047034
200,0.010000000000000002,0.010950609708536002,0.9969333333333333,0.24202052099704743,0.9432,21.891571099999055,4542.396392000001
201,0.010000000000000002,0.007644883909521417,0.9984888888888889,0.24653132728338242,0.9412,21.82837969999855,4564.2248958
202,0.010000000000000002,0.008260447937374314,0.998,0.24324542170763017,0.9416,21.83086579999872,4586.055880900001
203,0.010000000000000002,0.007873065670150229,0.9981555555555556,0.2465057366013527,0.9394,21.85046610000063,4607.9064693
204,0.010000000000000002,0.00799055723440316,0.9982666666666666,0.25652899827957154,0.9422,21.81647350000094,4629.723070100001
205,0.010000000000000002,0.00867161906634768,0.9977777777777778,0.2581236746907234,0.939,21.95636110000123,4651.679549500001
206,0.010000000000000002,0.008688669792086713,0.9977333333333334,0.25589097135066985,0.9388,21.843830399999206,4673.5234998
207,0.010000000000000002,0.008926474393159151,0.9979111111111111,0.24937280139923096,0.942,21.84690810000029,4695.370518600001
208,0.010000000000000002,0.007389777298561401,0.9985555555555555,0.25305210235118863,0.9404,21.837195399999473,4717.207831900001
209,0.010000000000000002,0.007679614337161183,0.9982888888888889,0.2515466771602631,0.939,21.86277759999939,4739.0707336
